purchase_no	purchaser	residence	social_status	aliquot_or_lot	section	township	range	meridian	county	acres	price_per_acre	total_price	type_of_sale	date_purchased	volume	page
0020995	LEWIS LUDLOW F	UNKNOWN		SWFR	29	38N	15E	3	COOK	5.39	1.25	6.74	FD	08/10/1835	687	299
0002118	HURD NIRAM F	UNKNOWN		E2NW	30	38N	15E	3	COOK	69.78	1.25	87.22	FD	06/27/1835	687	299
0027531	HURD NIRAM F	UNKNOWN		W2NW	30	38N	15E	3	COOK	80.00	1.45	116.00	FD	06/27/1835	687	299
0029730	KEINARD ANDREW	UNKNOWN		W2SW	30	38N	15E	3	COOK	80.00	1.25	100.00	FD	08/08/1835	687	299
0006893	LATHAM PHILIP C	UNKNOWN		NEFR	30	38N	15E	3	COOK	23.21	1.25	29.00	FD	06/27/1835	687	299
0004873	TAYLOR EDMUND D	UNKNOWN		E2SW	30	38N	15E	3	COOK	80.00	2.00	160.00	FD	06/27/1835	687	299
0016772	TAYLOR EDMUND D	UNKNOWN		SEFR	30	38N	15E	3	COOK	128.22	1.50	192.33	FD	06/27/1835	687	299
0000594	BOND EZRA	UNKNOWN		E2NE	31	38N	15E	3	COOK	80.00	2.10	168.00	FD	06/27/1835	687	299
0026080	CAMPBELL JAMES B	UNKNOWN		W2NE	31	38N	15E	3	COOK	80.00	1.25	100.00	FD	08/08/1835	687	299
0003257	HUBBARD ELIJAH K	UNKNOWN		E2SE	31	38N	15E	3	COOK	80.00	2.10	168.00	FD	06/27/1835	687	299
0027518	HUBBARD ELIJAH K	UNKNOWN		W2NW	31	38N	15E	3	COOK	80.00	1.25	100.00	FD	06/27/1835	687	299
0028637	HUBBARD ELIJAH K	UNKNOWN		W2SE	31	38N	15E	3	COOK	80.00	1.40	112.00	FD	06/27/1835	687	299
0002136	JAMISON LOUIS T	UNKNOWN		E2NW	31	38N	15E	3	COOK	80.00	1.25	100.00	FD	12/17/1835	687	299
0020724	ROBINSON RICHARD P	UNKNOWN		SW	31	38N	15E	3	COOK	160.00	1.25	200.00	FD	08/25/1835	687	299
0020943	BENTON LEWIS	UNKNOWN		SWFR	32	38N	15E	3	COOK	107.66	1.60	172.25	FD	06/27/1835	687	299
0011309	MORRISON THOS M	UNKNOWN		NWFR	32	38N	15E	3	COOK	78.94	1.25	98.67	FD	06/27/1835	687	299
0029556	FULLERTON ALEXANDER	UNKNOWN		W2SW	02	39N	13E	3	COOK	80.00	3.10	248.00	FD	06/26/1835	687	187
0004463	KENZIE JOHN H	UNKNOWN		E2SW	02	39N	13E	3	COOK	40.00	2.00	80.00	FD	06/26/1835	687	187
0001113	LATHAM PHILIP C	UNKNOWN		E2NE	02	39N	13E	3	COOK	79.62	1.30	103.50	FD	06/26/1835	687	187
0016290	LATHAM PHILIP C	UNKNOWN		SE	02	39N	13E	3	COOK	160.00	1.25	200.00	FD	06/26/1835	687	187
0026486	LATHAM PHILIP C	UNKNOWN		W2NE	02	39N	13E	3	COOK	79.62	1.25	99.52	FD	06/26/1835	687	187
0004672	PEARSONS H	UNKNOWN	I	E2SW	02	39N	13E	3	COOK	40.00	2.00	80.00	FD	06/26/1835	687	187
0002424	PRICE JEREMIAH	UNKNOWN		E2NW	02	39N	13E	3	COOK	78.68	1.25	98.35	FD	06/26/1835	687	187
0027904	SEYMOUR HENRY	UNKNOWN		W2NW	02	39N	13E	3	COOK	78.69	1.95	153.44	FD	06/26/1835	687	187
0028509	FULLERTON ALEXANDER	UNKNOWN		W2SE	03	39N	13E	3	COOK	80.00	1.40	112.00	FD	06/26/1835	687	187
0004464	KENZIE JOHN H	UNKNOWN		E2SW	03	39N	13E	3	COOK	40.00	1.50	60.00	FD	06/26/1835	687	187
0004673	PEARSONS H	UNKNOWN	I	E2SW	03	39N	13E	3	COOK	40.00	1.50	60.00	FD	06/26/1835	687	187
0029974	PEARSONS HIRAM	UNKNOWN		W2SW	03	39N	13E	3	COOK	80.00	1.25	100.00	FD	11/14/1835	687	187
0014635	PRICE JEREMIAH	UNKNOWN		N2	03	39N	13E	3	COOK	317.30	1.25	396.62	FD	08/06/1835	687	187
0003662	STEARNS JOHN F	UNKNOWN		E2SE	03	39N	13E	3	COOK	80.00	1.25	100.00	FD	06/26/1835	687	187
0010606	HARMON CHAS L	UNKNOWN		NW	04	39N	13E	3	COOK	80.45	1.25	100.55	FD	08/08/1835	687	187
0016237	KENZIE JOHN H	UNKNOWN		SE	04	39N	13E	3	COOK	80.00	1.25	100.00	FD	06/26/1835	687	187
0016434	PEARSONS HIRAM	UNKNOWN		SE	04	39N	13E	3	COOK	80.00	1.25	100.00	FD	06/26/1835	687	187
0020677	PEARSONS HIRAM	UNKNOWN		SW	04	39N	13E	3	COOK	160.00	1.25	200.00	FD	11/14/1835	687	187
0006569	PRICE JEREMIAH	UNKNOWN		NE	04	39N	13E	3	COOK	158.95	1.25	198.68	FD	10/16/1835	687	187
0010769	SOOMIS HORATIO G	UNKNOWN		NW	04	39N	13E	3	COOK	80.45	1.25	100.55	FD	08/08/1835	687	187
0026432	JAMISON LOUIS T	UNKNOWN		W2NE	05	39N	13E	3	COOK	78.66	1.25	98.32	FD	01/09/1836	687	187
0001262	PABELL RALPH M	UNKNOWN		E2NE	05	39N	13E	3	COOK	78.66	1.25	98.32	FD	12/18/1835	687	187
0016460	PRICE JEREMIAH	UNKNOWN		SE	05	39N	13E	3	COOK	160.00	1.25	200.00	FD	10/16/1835	687	187
0025552	REYNOLDS JOHN	UNKNOWN		W2	05	39N	13E	3	COOK	318.72	1.25	398.40	FD	10/31/1835	687	187
0010809	MCCORRISTEN WM	UNKNOWN		NW	06	39N	13E	3	COOK	174.09	1.25	217.61	FD	01/11/1836	687	187
0000155	REYNOLDS JOHN	UNKNOWN		E2	06	39N	13E	3	COOK	319.92	1.25	399.90	FD	10/31/1835	687	187
0020791	STEARNS JOHN F	UNKNOWN		SW	06	39N	13E	3	COOK	173.20	1.25	216.50	FD	06/26/1835	687	187
0005935	BERRY JAMES W	UNKNOWN		NE	07	39N	13E	3	COOK	160.00	1.25	200.00	FD	10/28/1835	687	187
0015899	BRONSON FREDERIC	UNKNOWN		SE	07	39N	13E	3	COOK	160.00	1.25	200.00	FD	06/26/1835	687	187
0020330	GARRETT AUGUSTUS	UNKNOWN		SW	07	39N	13E	3	COOK	171.52	1.25	214.40	FD	11/28/1835	687	187
